id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16893262,Cozy apartment in the heart of CPH,112709928,Eva,,Vesterbro-Kongens Enghave,55.668464069916325,12.545776458219787,Entire home/apt,399,3,2,2017-02-17,0.10,1,0
16893641,Perfect located apartment in Vesterbro,8136399,Tor,,Vesterbro-Kongens Enghave,55.66465125133869,12.55366786974086,Entire home/apt,1202,1,8,2018-05-04,0.38,2,89
16895942,"Lækker hyggelig, midt i København, 90 m2 nydelse",97662804,Heidi,,Nrrebro,55.69116349310432,12.53875307887151,Entire home/apt,550,1,40,2018-09-30,1.93,1,119
16901755,Minimum 2 weeks rental :-),13952185,Maria,,Frederiksberg,55.68287344151171,12.551055993155662,Entire home/apt,406,14,0,,,1,0
16903529,Charming apt. Frederiksberg,29175731,Linus,,Bispebjerg,55.70069480376247,12.522613523356027,Entire home/apt,399,2,1,2017-01-30,0.05,1,0
16905692,Lovely apartment next to King's Garden,9869246,Lars,,Indre By,55.68477948573716,12.582466982053365,Entire home/apt,1797,1,103,2018-10-11,4.94,2,40
16907209,The Crib - Big apartment in Copenhagen,112866059,Bobby,,Nrrebro,55.68976659594857,12.557521595183736,Private room,698,1,14,2018-08-26,0.68,1,88
16910878,"Perfect location, nordic design apartment",24585310,Frederik,,Indre By,55.686961975105596,12.56857149748216,Entire home/apt,799,3,4,2017-03-18,0.20,2,0
16911299,Charming 140 sqm flat in Østerbro,513,Simon,,sterbro,55.70740680818258,12.584004541015002,Entire home/apt,1202,2,4,2018-01-04,0.20,1,301
16912574,Big & Bright room in Copenhagen -1726 København V-,59362713,Alberto,,Vesterbro-Kongens Enghave,55.66687878118856,12.553375511065218,Private room,399,3,2,2017-03-01,0.10,1,0
16913241,Big family apt. for perfect visit in Copenhagen,11701701,Emilie,,Frederiksberg,55.688459767907446,12.527444064118738,Entire home/apt,483,3,3,2018-02-20,0.27,1,0
16917750,1 værelse i en delelejlighed.,105341562,Mette,,Amager Vest,55.663185810750655,12.596257369360487,Private room,599,3,10,2017-12-21,0.49,2,0
16917965,Charming apartment in wonderful CPH,112975014,Simon,,Nrrebro,55.69321477102294,12.560995639586697,Entire home/apt,750,2,24,2018-09-01,1.28,1,72
16918907,Cosy townhouse studio,34708038,Martin,,sterbro,55.70839673762066,12.5941559230355,Entire home/apt,1597,5,2,2018-06-04,0.12,1,25
16921006,Modern Vesterbro apartment near central station,113013177,Rasmus,,Vesterbro-Kongens Enghave,55.66978599207484,12.546913228988908,Entire home/apt,799,2,3,2017-03-08,0.15,1,0
16921042,Cozy Frederiksberg-appartment with 4 beds,47520059,Kirsten,,Frederiksberg,55.693502751825754,12.534420076808681,Entire home/apt,638,3,4,2017-08-31,0.23,3,0
16921233,"Cosy flat near big park, cafés and vintage shops",4350983,Mona,,sterbro,55.70875095520158,12.569170949999277,Entire home/apt,490,2,13,2018-08-08,0.78,1,0
16921955,"Lys, ren og rummelig lejlighed tæt på centrum",49091396,Heidi,,Amager Vest,55.65085924353212,12.611961789039974,Entire home/apt,548,2,3,2017-05-28,0.15,1,0
16922010,Valby - just 10 mins to central copenhagen,113024548,Casper,,Valby,55.66573750478129,12.506351002450204,Entire home/apt,503,1,17,2018-02-04,0.87,1,0
16922060,Skøn stor bolig med altan og have tæt på centrum,6157020,Betina Louise,,Valby,55.66895887487385,12.498285472047568,Entire home/apt,692,2,12,2018-07-26,0.74,1,13
16922781,★ Exclusive location ★ Center of shopping district,11601799,Mark,,Indre By,55.68117567520596,12.57512939567972,Entire home/apt,1151,1,54,2018-10-03,3.29,1,25
16924077,Romantic inner city apartment,44689558,Lars,,Vesterbro-Kongens Enghave,55.66826615274912,12.554569578230632,Entire home/apt,902,2,52,2018-10-14,2.52,1,1
